,name,last_commit,versions,extracted_version,import_counts,function_counts,n_python_file,n_notebook,include
0,dlanier/scalygraphic,2022-09-10,[],,,,0,0,False
1,AdFiFi/D-FaST,2024-03-19,"[{'file': 'requirements.txt', 'version': 'nilearn==0.9.2\n', 'extracted_version': '0.9.2'}]",0.9.2,{'connectome': 1},"{'ConnectivityMeasure': 1, 'connectome': 1}",1,0,True
3,AdFiFi/nireports,2025-03-20,"[{'file': '.maint/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': '>= 0.8', 'extracted_version': '0.8'}]",0.8,"{'image': 8, 'plotting': 5, 'maskers': 1, 'input_data': 1, 'signal': 1, 'masking': 2}","{'__version__': 1, 'nilearn': 1, 'threshold_img': 4, 'image': 9, 'new_img_like': 2, 'plot_anat': 4, 'index_img': 4, 'NiftiMasker': 1, 'iter_img': 1, 'cold_white_hot': 1, 'plot_surf': 1, 'clean': 1, 'resample_to_img': 4, 'load_img': 7, 'unmask': 3, 'apply_mask': 3}",8,0,True
4,AdFiFi/stgnnbrain,2024-12-13,[],,,,0,0,False
5,Anwar-Said/NeuroPrep,2024-01-20,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': ""        'nilearn',\n"", 'extracted_version': '0.0.0'}]",0.0.0,"{'image': 3, 'datasets': 2, 'connectome': 2}","{'load_img': 3, 'fetch_atlas_schaefer_2018': 2, 'ConnectivityMeasure': 2}",3,0,True
6,Anwar-Said/NeuroGraph,2025-02-05,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': ""        'nilearn',\n"", 'extracted_version': '0.0.0'}]",0.0.0,"{'image': 4, 'datasets': 2, 'connectome': 2}","{'load_img': 10, 'ConnectivityMeasure': 8, 'fetch_atlas_schaefer_2018': 8}",4,0,True
7,SnehalB06/IntegrativeHubs,2025-04-04,[],,"{'maskers': 4, 'plotting': 4, 'datasets': 1, 'surface': 1}","{'image': 2, 'nilearn': 5, 'masking': 3, 'NiftiLabelsMasker': 1, 'plot_stat_map': 1, 'plot_glass_brain': 4, 'plotting': 4}",6,0,True
8,brain-tools/rfmri-feature-extraction,2024-01-30,"[{'file': 'requirements.txt', 'version': 'nilearn=0.9.2=pypi_0\n', 'extracted_version': '0.9.2'}]",0.9.2,"{'image': 3, 'maskers': 3}","{'load_img': 3, 'image': 3, 'NiftiMapsMasker': 3}",3,0,True
9,dangom/fluctus,2024-12-05,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': 'REQUIRES = [""numpy"", ""scipy"", ""matplotlib"", ""scikit-learn"", ""nilearn"", ""nibabel""]\n', 'extracted_version': '0.0.0'}]",0.0.0,"{'maskers': 1, 'image': 1, 'input_data': 1}","{'NiftiMasker': 2, 'NiftiLabelsMasker': 1, 'new_img_like': 1, 'image': 6, 'math_img': 2, 'binarize_img': 1, 'load_img': 2, 'input_data': 1}",2,0,True
11,Clancy-wu/ME-PCA,2024-11-25,"[{'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': None, 'extracted_version': None}, {'file': 'setup.cfg', 'version': '0.0.0', 'extracted_version': '0.0.0'}]",0.0.0,"{'image': 1, 'signal': 1, 'masking': 1, 'maskers': 1}","{'load_img': 1, 'image': 1}",1,0,True
