name,last_commit,versions,n_notebook,n_notebook_parsed,n_python_file,n_python_file_parsed,import_counts,function_counts,contains_python_2,extracted_version,lockfile,has_version,has_imports,use_imports,include,user,repo,content,p_notebook_parsed,p_python_file_parsed,duplicated_repo
peetal/bgfc_kit,2024-03-29,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': None, 'extracted_version': None}]",0,0,2,2,"{'image': 4, 'regions': 1, 'masking': 2}","{'img_to_signals_labels': 2, 'load_img': 4, 'apply_mask': 1, 'new_img_like': 2}",False,0.0.0,requirements.txt,True,True,True,True,peetal,bgfc_kit,python,n/a,1.0,False
SoraToyoda/Portfolio,2025-04-07,"[{'file': '学内/表情検知システム/requirements.txt', 'version': 'nilearn==0.10.4\n', 'extracted_version': '0.10.4'}]",0,0,0,0,{},{},False,0.10.4,requirements.txt,True,False,False,True,SoraToyoda,Portfolio,mixed,n/a,n/a,False
icon-lab/BolT,2023-06-21,[],0,0,3,3,"{'datasets': 3, 'image': 2, 'input_data': 1}","{'nilearn': 7, 'image': 1, 'NiftiLabelsMasker': 1}",False,n/a,n/a,False,True,True,True,icon-lab,BolT,python,n/a,1.0,False
sophieloiz/clinica,2023-11-24,"[{'file': 'pyproject.toml', 'version': '^0.9.2', 'extracted_version': '0.9.2'}, {'file': 'environment.yml', 'version': None, 'extracted_version': None}, {'file': 'poetry.lock', 'version': 'nilearn = "">=0.7.0""\n', 'extracted_version': '0.7.0'}]",0,0,10,9,"{'image': 6, 'plotting': 2, 'surface': 4}","{'resample_to_img': 4, 'plot_glass_brain': 1, 'plot_stat_map': 3, 'Mesh': 4, 'plot_surf_stat_map': 1, 'load_surf_mesh': 1, 'crop_img': 2, 'to_filename': 1, 'new_img_like': 1, 'smooth_img': 1}",False,several_versions_detected,several_lockfile_detected,True,True,True,True,sophieloiz,clinica,python,n/a,0.9,False
mfvazquez/connectome_plotter,2021-04-18,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}]",1,1,0,0,{'plotting': 2},"{'plot_connectome': 1, '_cmap_d': 1}",False,0.0.0,requirements.txt,True,True,True,True,mfvazquez,connectome_plotter,notebook,1.0,n/a,False
efwoods/Searchlight-analysis-of-face-vs-house-recognition,2024-07-20,[],2,2,2,1,"{'datasets': 3, 'image': 6, 'decoding': 1, 'maskers': 1, 'plotting': 1}","{'fetch_haxby': 3, 'index_img': 2, 'load_img': 1, 'get_data': 2, 'new_img_like': 3, 'NiftiMasker': 1, 'mean_img': 1, 'plot_img': 1, 'plot_stat_map': 1, 'show': 1}",False,n/a,n/a,False,True,True,True,efwoods,Searchlight-analysis-of-face-vs-house-recognition,mixed,1.0,0.5,False
maikia/ramp_stroke,2020-10-15,[],1,0,3,3,{'image': 3},{'load_img': 4},False,n/a,n/a,False,True,True,True,maikia,ramp_stroke,python,0.0,1.0,False
ozgurgulenn/assignment,2024-11-29,[],1,1,0,0,"{'plotting': 1, 'image': 1}",{'plot_stat_map': 1},False,n/a,n/a,False,True,True,True,ozgurgulenn,assignment,notebook,1.0,n/a,False
incubodac/PyDeconv,2024-09-24,[],0,0,0,0,{},{},False,n/a,n/a,False,False,False,False,incubodac,PyDeconv,mixed,n/a,n/a,False
amirharari/FmriPreprocessing,2024-09-10,[],0,0,3,3,"{'image': 3, 'maskers': 2, 'plotting': 2, 'glm': 2}","{'load_img': 2, 'NiftiLabelsMasker': 2, 'FirstLevelModel': 1, 'plot_event': 1, 'plot_design_matrix': 1, 'SecondLevelModel': 1}",False,n/a,n/a,False,True,True,True,amirharari,FmriPreprocessing,python,n/a,1.0,False
