name,last_commit,versions,extracted_version,import_counts,function_counts,n_python_file,n_notebook,has_version,has_imports,use_imports,include,user,repo,content,duplicated_repo
dlanier/scalygraphic,2022-09-10,[],n/a,n/a,n/a,0,0,False,False,False,False,dlanier,scalygraphic,mixed,False
AdFiFi/D-FaST,2024-03-19,"[{'file': 'requirements.txt', 'version': 'nilearn==0.9.2\n', 'extracted_version': '0.9.2'}]",0.9.2,{'connectome': 1},"{'ConnectivityMeasure': 1, 'connectome': 1}",1,0,True,True,True,True,AdFiFi,D-FaST,python,False
AdFiFi/scattr,2024-03-20,"[{'file': 'docs/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': '^0.10.0', 'extracted_version': '0.10.0'}, {'file': 'poetry.lock', 'version': 'name = ""nilearn""\n', 'extracted_version': '0.0.0'}]",several_versions_detected,"{'plotting': 2, 'image': 1}","{'view_img': 2, 'plotting': 2, 'plot_roi': 1, 'load_img': 2}",2,0,True,True,True,True,AdFiFi,scattr,python,False
AdFiFi/nireports,2025-03-20,"[{'file': '.maint/requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': '>= 0.8', 'extracted_version': '0.8'}]",0.8,"{'image': 8, 'plotting': 5, 'maskers': 1, 'input_data': 1, 'signal': 1, 'masking': 2}","{'__version__': 1, 'nilearn': 1, 'threshold_img': 4, 'image': 9, 'new_img_like': 2, 'plot_anat': 4, 'index_img': 4, 'NiftiMasker': 1, 'iter_img': 1, 'cold_white_hot': 1, 'plot_surf': 1, 'clean': 1, 'resample_to_img': 4, 'load_img': 7, 'unmask': 3, 'apply_mask': 3}",8,0,True,True,True,True,AdFiFi,nireports,python,False
AdFiFi/stgnnbrain,2024-12-13,[],n/a,n/a,n/a,0,0,False,False,False,False,AdFiFi,stgnnbrain,mixed,False
Anwar-Said/NeuroPrep,2024-01-20,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': ""        'nilearn',\n"", 'extracted_version': '0.0.0'}]",0.0.0,"{'image': 3, 'datasets': 2, 'connectome': 2}","{'load_img': 3, 'fetch_atlas_schaefer_2018': 2, 'ConnectivityMeasure': 2}",3,0,True,True,True,True,Anwar-Said,NeuroPrep,python,False
Anwar-Said/NeuroGraph,2025-02-05,"[{'file': 'requirements.txt', 'version': 'nilearn\n', 'extracted_version': '0.0.0'}, {'file': 'setup.py', 'version': ""        'nilearn',\n"", 'extracted_version': '0.0.0'}]",0.0.0,"{'image': 4, 'datasets': 2, 'connectome': 2}","{'load_img': 10, 'ConnectivityMeasure': 8, 'fetch_atlas_schaefer_2018': 8}",4,0,True,True,True,True,Anwar-Said,NeuroGraph,python,False
SnehalB06/IntegrativeHubs,2025-04-04,[],n/a,"{'maskers': 4, 'plotting': 4, 'datasets': 1, 'surface': 1}","{'image': 2, 'nilearn': 5, 'masking': 3, 'NiftiLabelsMasker': 1, 'plot_stat_map': 1, 'plot_glass_brain': 4, 'plotting': 4}",6,0,False,True,True,True,SnehalB06,IntegrativeHubs,python,False
brain-tools/rfmri-feature-extraction,2024-01-30,"[{'file': 'requirements.txt', 'version': 'nilearn=0.9.2=pypi_0\n', 'extracted_version': '0.9.2'}]",0.9.2,"{'image': 3, 'maskers': 3}","{'load_img': 3, 'image': 3, 'NiftiMapsMasker': 3}",3,0,True,True,True,True,brain-tools,rfmri-feature-extraction,python,False
dangom/fluctus,2024-12-05,"[{'file': 'requirements.txt', 'version': None, 'extracted_version': None}, {'file': 'pyproject.toml', 'version': None, 'extracted_version': None}, {'file': 'setup.py', 'version': 'REQUIRES = [""numpy"", ""scipy"", ""matplotlib"", ""scikit-learn"", ""nilearn"", ""nibabel""]\n', 'extracted_version': '0.0.0'}]",0.0.0,"{'maskers': 1, 'image': 1, 'input_data': 1}","{'NiftiMasker': 2, 'NiftiLabelsMasker': 1, 'new_img_like': 1, 'image': 6, 'math_img': 2, 'binarize_img': 1, 'load_img': 2, 'input_data': 1}",2,0,True,True,True,True,dangom,fluctus,python,False
