name,object,n,extracted_version,content
peetal/bgfc_kit,img_to_signals_labels,2,0.0.0,python
peetal/bgfc_kit,load_img,4,0.0.0,python
peetal/bgfc_kit,apply_mask,1,0.0.0,python
peetal/bgfc_kit,new_img_like,2,0.0.0,python
icon-lab/BolT,image,1,,python
icon-lab/BolT,NiftiLabelsMasker,1,,python
sophieloiz/clinica,resample_to_img,4,several_versions_detected,python
sophieloiz/clinica,plot_glass_brain,1,several_versions_detected,python
sophieloiz/clinica,plot_stat_map,3,several_versions_detected,python
sophieloiz/clinica,Mesh,4,several_versions_detected,python
sophieloiz/clinica,plot_surf_stat_map,1,several_versions_detected,python
sophieloiz/clinica,load_surf_mesh,1,several_versions_detected,python
sophieloiz/clinica,crop_img,2,several_versions_detected,python
sophieloiz/clinica,to_filename,1,several_versions_detected,python
sophieloiz/clinica,new_img_like,1,several_versions_detected,python
sophieloiz/clinica,smooth_img,1,several_versions_detected,python
mfvazquez/connectome_plotter,plot_connectome,1,0.0.0,notebook
mfvazquez/connectome_plotter,_cmap_d,1,0.0.0,notebook
efwoods/Searchlight-analysis-of-face-vs-house-recognition,fetch_haxby,3,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,index_img,2,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,load_img,1,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,get_data,2,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,new_img_like,3,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,NiftiMasker,1,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,mean_img,1,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,plot_img,1,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,plot_stat_map,1,,mixed
efwoods/Searchlight-analysis-of-face-vs-house-recognition,show,1,,mixed
maikia/ramp_stroke,load_img,4,,python
ozgurgulenn/assignment,plot_stat_map,1,,notebook
amirharari/FmriPreprocessing,load_img,2,,python
amirharari/FmriPreprocessing,NiftiLabelsMasker,2,,python
amirharari/FmriPreprocessing,FirstLevelModel,1,,python
amirharari/FmriPreprocessing,plot_event,1,,python
amirharari/FmriPreprocessing,plot_design_matrix,1,,python
amirharari/FmriPreprocessing,SecondLevelModel,1,,python
masamlinaric/Home_assignment_programming,show,1,,notebook
AnaFOliveira/Segmentation-of-Lungs,shape,3,several_versions_detected,mixed
AnaFOliveira/Segmentation-of-Lungs,__class__,1,several_versions_detected,mixed
AnaFOliveira/Segmentation-of-Lungs,get_data,1,several_versions_detected,mixed
AnaFOliveira/Segmentation-of-Lungs,affine,1,several_versions_detected,mixed
AnaFOliveira/Segmentation-of-Lungs,mean,1,several_versions_detected,mixed
AnaFOliveira/Segmentation-of-Lungs,new_img_like,2,several_versions_detected,mixed
AnaFOliveira/Segmentation-of-Lungs,resample_to_img,2,several_versions_detected,mixed
AnaFOliveira/Segmentation-of-Lungs,_crop_img_to,1,several_versions_detected,mixed
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,load_img,4,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,new_img_like,3,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,plot_matrix,2,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,plot_glass_brain,3,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,NiftiLabelsMasker,1,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,binarize_img,2,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,plot_roi,3,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,threshold_img,1,0.8.1,python
clinical-brain-networks/OCD_Naze_et_al_2022_Brain,mean_img,1,0.8.1,python
clinical-brain-networks/OCDBaseline_public,plot_anat,1,,mixed
clinical-brain-networks/OCDBaseline_public,new_img_like,8,,mixed
clinical-brain-networks/OCDBaseline_public,plot_stat_map,22,,mixed
clinical-brain-networks/OCDBaseline_public,plot_roi,4,,mixed
clinical-brain-networks/OCDBaseline_public,show,10,,mixed
clinical-brain-networks/OCDBaseline_public,coord_transform,4,,mixed
clinical-brain-networks/OCDBaseline_public,connected_regions,3,,mixed
clinical-brain-networks/OCDBaseline_public,plot_prob_atlas,3,,mixed
clinical-brain-networks/OCDBaseline_public,index_img,3,,mixed
clinical-brain-networks/OCDBaseline_public,resample_to_img,2,,mixed
clinical-brain-networks/OCDBaseline_public,threshold_stats_img,2,,mixed
clinical-brain-networks/OCDBaseline_public,NiftiLabelsMasker,1,,mixed
clinical-brain-networks/OCDBaseline_public,NiftiSpheresMasker,1,,mixed
clinical-brain-networks/OCDBaseline_public,clean,2,,mixed
clinical-brain-networks/OCDBaseline_public,make_first_level_design_matrix,1,,mixed
clinical-brain-networks/OCDBaseline_public,run_glm,1,,mixed
clinical-brain-networks/OCDBaseline_public,FirstLevelModel,1,,mixed
clinical-brain-networks/OCDBaseline_public,compute_contrast,1,,mixed
clinical-brain-networks/OCDBaseline_public,apply_mask,1,,mixed
clinical-brain-networks/OCDBaseline_public,plot_img,1,,mixed
clinical-brain-networks/OCDBaseline_public,plot_glass_brain,8,,mixed
clinical-brain-networks/OCDBaseline_public,cm,6,,mixed
htylab/tigerbx,reorder_img,16,0.9.2,python
htylab/tigerbx,resample_img,4,0.9.2,python
htylab/tigerbx,resample_to_img,5,0.9.2,python
jerdra/BOONStim,load_img,5,,python
jerdra/simnibs_tutorial,load_img,2,,notebook
jerdra/simnibs_tutorial,plot_anat,4,,notebook
ShiboXing/Improved-3dbraingen,plot_img,33,,mixed
ShiboXing/Improved-3dbraingen,show,29,,mixed
ShiboXing/Improved-3dbraingen,plot_anat,6,,mixed
FarseenSh/Deep-Learning-Portfolio,fetch_adhd,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,load_img,3,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,fetch_icbm152_2009,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,index_img,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,NiftiMasker,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,plot_glass_brain,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,plot_stat_map,3,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,fetch_atlas_harvard_oxford,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,NiftiLabelsMasker,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,ConnectivityMeasure,2,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,find_parcellation_cut_coords,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,plot_connectome,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,make_first_level_design_matrix,1,0.8.0,notebook
FarseenSh/Deep-Learning-Portfolio,FirstLevelModel,1,0.8.0,notebook
